"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"071002","Alberona","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",433,,
"071002","Alberona","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",471,,
"071002","Alberona","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",461,,
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",566,,
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",557,,
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",630,,
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",612,,
"075007","Arnesano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2004,,
"075007","Arnesano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1982,,
"075007","Arnesano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2032,,
"075007","Arnesano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",2013,,
"071005","Ascoli Satriano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3062,,
"071005","Ascoli Satriano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3054,,
"071005","Ascoli Satriano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3014,,
"071005","Ascoli Satriano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",2989,,
"073001","Avetrana","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3105,,
"073001","Avetrana","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3088,,
"073001","Avetrana","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3370,,
"073001","Avetrana","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",3348,,
"075008","Bagnolo del Salento","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",933,,
"075008","Bagnolo del Salento","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",924,,
"071006","Biccari","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1334,,
"071006","Biccari","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1319,,
"071006","Biccari","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1363,,
"071006","Biccari","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1356,,
"072008","Binetto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1115,,
"072008","Binetto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1106,,
"072008","Binetto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1089,,
"072008","Binetto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1087,,
"110003","Bisceglie","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",27174,,
"110003","Bisceglie","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",27112,,
"110003","Bisceglie","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",27532,,
"110003","Bisceglie","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",27517,,
"072010","Bitetto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",5923,,
"072010","Bitetto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",5887,,
"072010","Bitetto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",6068,,
"072010","Bitetto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",6052,,
"072011","Bitonto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",26016,,
"072011","Bitonto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",25889,,
"072011","Bitonto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",26845,,
"072011","Bitonto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",26657,,
"072012","Bitritto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",5574,,
"072012","Bitritto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",5551,,
"072012","Bitritto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",5735,,
"072012","Bitritto","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",5725,,
"075009","Botrugno","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1274,,
"075009","Botrugno","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1265,,
"075009","Botrugno","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1425,,
"075009","Botrugno","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1410,,
"071007","Bovino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1554,,
"071007","Bovino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1531,,
"071007","Bovino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1628,,
"071007","Bovino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1590,,
"075011","Campi Salentina","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",4803,,
