;;;;;;;
Riepilogo complessivo qualita dell'aria ;;;;;;;
* Il valore fa riferimento al numero dei superamenti del PM10 nel periodo tra il 01/01/ 2019 e il 01/01/2019 ;;;;;;;
NB - Per unita di misura, valore di soglia e parametro di valutazione fare riferimento a quanto riportato sul sito web www.arpa.puglia.it - sezione aria  ;;;;;;;
Provincia: Bari ;;;;;;;
Inquinante: PM10 ;;;;;;;
;;;;;;;
NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Mesagne - Via Udine;2020-11-08 00:00:00.0;Brindisi;Mesagne;PM10;22;34
Mesagne - Via Udine;2020-11-09 00:00:00.0;Brindisi;Mesagne;PM10;22;34
Mesagne - Via Udine;2020-11-10 00:00:00.0;Brindisi;Mesagne;PM10;26;34
Mesagne - Via Udine;2020-11-11 00:00:00.0;Brindisi;Mesagne;PM10;33;34
Mesagne - Via Udine;2020-11-12 00:00:00.0;Brindisi;Mesagne;PM10;74;34
Mesagne - Via Udine;2020-11-13 00:00:00.0;Brindisi;Mesagne;PM10;72;34
Mesagne - Via Udine;2020-11-14 00:00:00.0;Brindisi;Mesagne;PM10;76;34
Mesagne - Via Udine;2020-11-15 00:00:00.0;Brindisi;Mesagne;PM10;54;34
Mesagne - Via Udine;2020-11-16 00:00:00.0;Brindisi;Mesagne;PM10;29;34
Mesagne - Via Udine;2020-11-17 00:00:00.0;Brindisi;Mesagne;PM10;23;34
Mesagne - Via Udine;2020-11-18 00:00:00.0;Brindisi;Mesagne;PM10;20;34
Mesagne - Via Udine;2020-11-19 00:00:00.0;Brindisi;Mesagne;PM10;32;34
Mesagne - Via Udine;2020-11-20 00:00:00.0;Brindisi;Mesagne;PM10;31;34
Mesagne - Via Udine;2020-11-21 00:00:00.0;Brindisi;Mesagne;PM10;13;34
Mesagne - Via Udine;2020-11-22 00:00:00.0;Brindisi;Mesagne;PM10;13;34
Mesagne - Via Udine;2020-11-23 00:00:00.0;Brindisi;Mesagne;PM10;18;34
Mesagne - Via Udine;2020-11-24 00:00:00.0;Brindisi;Mesagne;PM10;15;34
Mesagne - Via Udine;2020-11-25 00:00:00.0;Brindisi;Mesagne;PM10;30;34
Mesagne - Via Udine;2020-11-26 00:00:00.0;Brindisi;Mesagne;PM10;27;34
Mesagne - Via Udine;2020-11-27 00:00:00.0;Brindisi;Mesagne;PM10;62;34
Mesagne - Via Udine;2020-11-28 00:00:00.0;Brindisi;Mesagne;PM10;66;34
Mesagne - Via Udine;2020-11-29 00:00:00.0;Brindisi;Mesagne;PM10;7;34
Mesagne - Via Udine;2020-11-30 00:00:00.0;Brindisi;Mesagne;PM10;15;34
Mesagne - Via Udine;2020-12-01 00:00:00.0;Brindisi;Mesagne;PM10;26;34
Mesagne - Via Udine;2020-12-02 00:00:00.0;Brindisi;Mesagne;PM10;21;34
Mesagne - Via Udine;2020-12-03 00:00:00.0;Brindisi;Mesagne;PM10;15;34
Mesagne - Via Udine;2020-12-04 00:00:00.0;Brindisi;Mesagne;PM10;18;34
Mesagne - Via Udine;2020-12-05 00:00:00.0;Brindisi;Mesagne;PM10;16;34
Mesagne - Via Udine;2020-12-06 00:00:00.0;Brindisi;Mesagne;PM10;17;34
Mesagne - Via Udine;2020-12-07 00:00:00.0;Brindisi;Mesagne;PM10;36;34
Mesagne - Via Udine;2020-12-08 00:00:00.0;Brindisi;Mesagne;PM10;20;34
Mesagne - Via Udine;2020-12-09 00:00:00.0;Brindisi;Mesagne;PM10;;34
Mesagne - Via Udine;2020-12-10 00:00:00.0;Brindisi;Mesagne;PM10;;34
Mesagne - Via Udine;2020-12-11 00:00:00.0;Brindisi;Mesagne;PM10;23;34
Mesagne - Via Udine;2020-12-12 00:00:00.0;Brindisi;Mesagne;PM10;60;34
Mesagne - Via Udine;2020-12-13 00:00:00.0;Brindisi;Mesagne;PM10;14;34
Mesagne - Via Udine;2020-12-14 00:00:00.0;Brindisi;Mesagne;PM10;10;34
Mesagne - Via Udine;2020-12-15 00:00:00.0;Brindisi;Mesagne;PM10;47;34
Mesagne - Via Udine;2020-12-16 00:00:00.0;Brindisi;Mesagne;PM10;104;34
Mesagne - Via Udine;2020-12-17 00:00:00.0;Brindisi;Mesagne;PM10;88;34
Mesagne - Via Udine;2020-12-18 00:00:00.0;Brindisi;Mesagne;PM10;80;34
Mesagne - Via Udine;2020-12-19 00:00:00.0;Brindisi;Mesagne;PM10;83;34
Mesagne - Via Udine;2020-12-20 00:00:00.0;Brindisi;Mesagne;PM10;51;34
Mesagne - Via Udine;2020-12-21 00:00:00.0;Brindisi;Mesagne;PM10;45;34
Mesagne - Via Udine;2020-12-22 00:00:00.0;Brindisi;Mesagne;PM10;65;34
Mesagne - Via Udine;2020-12-23 00:00:00.0;Brindisi;Mesagne;PM10;84;34
Mesagne - Via Udine;2020-12-24 00:00:00.0;Brindisi;Mesagne;PM10;41;34
Mesagne - Via Udine;2020-12-25 00:00:00.0;Brindisi;Mesagne;PM10;23;34
Mesagne - Via Udine;2020-12-26 00:00:00.0;Brindisi;Mesagne;PM10;12;34
Mesagne - Via Udine;2020-12-27 00:00:00.0;Brindisi;Mesagne;PM10;20;34
Mesagne - Via Udine;2020-12-28 00:00:00.0;Brindisi;Mesagne;PM10;18;34
Mesagne - Via Udine;2020-12-29 00:00:00.0;Brindisi;Mesagne;PM10;68;34
Mesagne - Via Udine;2020-12-30 00:00:00.0;Brindisi;Mesagne;PM10;60;34
Mesagne - Via Udine;2020-12-31 00:00:00.0;Brindisi;Mesagne;PM10;40;34
San Pancrazio Salentino - Deledda;2019-01-01 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;13;22
San Pancrazio Salentino - Deledda;2019-01-02 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;12;22
